frame,ID,x,y
16,0,252.65258525599384,564.594790073154
17,0,252.64986706697997,564.5926087084041
369,1,695.9662210899917,165.28340745390926
370,1,696.1019476563233,165.5104056895759
373,1,687.6218997229446,165.8356359510799
385,2,735.4606860365774,199.2087487102767
386,2,738.4231041846467,201.32931637894708
387,2,737.5324680163757,202.53768753499907
388,2,739.2077686461944,205.1336084285591
389,2,739.1751649000153,206.24622805328647
390,2,735.3466393688807,208.92100604644986
391,2,742.594353801375,212.17370719365724
392,2,743.9542438769591,213.69220344557746
393,2,745.92675631011,215.2233905845375
413,3,722.1063274391328,300.3371896483547
414,3,725.6088436824866,302.84244831126585
414,4,758.1919310713639,250.03820173275454
415,3,725.595917713324,303.2452382597714
415,4,757.3182540752434,250.7012914629623
416,3,723.7730922532571,300.640924722539
420,3,723.9690462590632,311.0090482217594
423,5,724.6042730212847,317.95064898535844
425,5,727.7416857138998,313.6895792189531
426,5,720.0539429245536,295.4338421418733
427,5,727.0355472431755,316.37491489228836
428,5,732.2837393801474,317.7288336031423
429,5,729.755334142098,322.07277875572447
429,6,765.0833753383694,270.494938115131
430,5,725.5679958879601,316.1897421520664
430,6,765.4224049594781,271.37536690926
430,7,983.3219698453927,103.84052128838265
431,5,720.2094576706274,297.45279429161724
431,6,766.4856872509395,271.44775919828174
431,7,979.7431246570908,103.67174308376948
432,5,724.5742011074452,313.9350928050936
432,6,767.1910601875593,271.55945898174735
432,7,981.8403510096249,103.26898609336666
433,5,729.9348774069276,318.652006295396
433,6,767.4873836344334,272.0585115059909
433,7,983.2099894114805,103.62815579716434
434,5,731.3912951825124,318.7609625077619
434,6,766.3079251311957,272.18788067058784
434,7,980.0884681047295,103.4656384949295
435,5,720.5877759109425,298.2135879485968
435,6,765.940531868423,272.482359360866
435,7,982.1907062330745,104.27634130179925
436,6,765.8057039737652,272.556700186136
436,7,982.6831541426914,104.79585447498887
437,6,766.2711175504594,272.3120840569654
437,7,1025.4535765068215,157.42577387042655
437,8,725.1473519675642,317.8228349273605
438,6,766.8804759897853,272.581076824376
438,7,1027.1426473480826,154.13169921280874
438,8,725.122793676574,317.7762918486549
438,9,939.3792519225757,624.0060282243137
438,10,915.3036179333697,624.678824022108
438,11,990.6177900951932,605.3310259665523
439,6,767.6808952453258,272.57266359959436
439,7,1023.0903673107437,147.47194399477658
439,8,725.9900035309308,318.2338633269465
439,9,942.2527765382142,623.0167723928985
439,10,899.6322703423941,625.0642782942647
439,11,1125.4181461696444,527.7639572845899
440,6,767.4862198753812,272.59965563478653
440,7,1024.8575340797986,147.0542451038943
440,8,725.6843372370585,318.3877035645555
440,9,940.7254626285733,623.391903782837
440,10,893.7802365890943,624.9434953560104
440,11,1123.0240501556143,500.1089282561925
440,12,1111.9332154242595,510.79317689395145
441,6,766.6790515426707,272.51290375787636
441,7,1020.0887706937813,142.5844653214661
441,8,729.7433571474909,317.89846271091227
441,9,994.3704979283343,418.37644245220815
441,10,851.2159762758153,624.8979099590128
441,11,1133.9654791101075,428.4320729567073
441,12,1099.6258648671985,516.3086052777683
441,13,1064.012276578048,486.27570190648095
441,14,1033.8532596877017,404.24734448604994
441,15,1042.5630295170383,524.5873477352395
442,6,767.7370594250089,272.37827560392634
442,7,1019.5873209205255,140.25390113755617
442,8,884.6787365033064,562.0410742444792
442,9,1060.8186863213305,363.9554421751603
442,10,842.3686974223559,620.7567749134698
442,12,1115.215509620129,427.862828491125
442,13,1099.4559558110586,426.00736259892994
442,14,961.1665153439985,408.1133303177171
442,15,1005.2342823982995,517.5418611511889
442,16,1123.1397719952731,339.66428563083406
